c1,c2,c3,c4
350100000000,福州市,2,350000000000
350101000000,市辖区,3,350100000000
350102000000,鼓楼区,3,350100000000
350102001000,鼓东街道,4,350102000000
350102001001,中山社区,5,350102001000
350102001002,庆城社区,5,350102001000
350102001004,观风亭社区,5,350102001000
350102001005,开元社区,5,350102001000
350102001006,树兜社区,5,350102001000
350102002000,鼓西街道,4,350102000000
350102002002,梦山社区,5,350102002000
350102002003,西湖社区,5,350102002000
350102002004,陆庄社区,5,350102002000
350102002005,保定社区,5,350102002000
350102002006,后县社区,5,350102002000
350102002007,达明社区,5,350102002000
350102003000,温泉街道,4,350102000000
350102003001,琼河社区,5,350102003000
350102003002,河东社区,5,350102003000
350102003003,东湖社区,5,350102003000
350102003004,金汤社区,5,350102003000
350102003005,东大社区,5,350102003000
350102003006,汤门社区,5,350102003000
350102003007,汤边社区,5,350102003000
350102004000,东街街道,4,350102000000
350102004001,军门社区,5,350102004000
350102004003,大根社区,5,350102004000
350102004004,竹林境社区,5,350102004000
350102004005,旗讯口社区,5,350102004000
350102005000,南街街道,4,350102000000
350102005001,河南杨桥社区,5,350102005000
350102005002,小柳社区,5,350102005000
350102005005,灵响社区,5,350102005000
350102005006,驿里社区,5,350102005000
350102005007,柳河社区,5,350102005000
350102005008,三坊七巷社区,5,350102005000
350102006000,安泰街道,4,350102000000
350102006001,五一广场社区,5,350102006000
350102006002,乌山社区,5,350102006000
350102006003,乌塔社区,5,350102006000
350102006005,于山社区,5,350102006000
350102007000,华大街道,4,350102000000
350102007001,琴湖社区,5,350102007000
350102007002,屏山社区,5,350102007000
350102007003,龙峰社区,5,350102007000
350102007004,九彩社区,5,350102007000
350102007005,思儿亭社区,5,350102007000
350102007006,公益社区,5,350102007000
350102007007,体育中心社区,5,350102007000
350102007008,屏东社区,5,350102007000
350102007009,北江社区,5,350102007000
350102008000,水部街道,4,350102000000
350102008001,闽都社区,5,350102008000
350102008002,莲宅社区,5,350102008000
350102008003,乐天泉社区,5,350102008000
350102008004,福新社区,5,350102008000
350102008005,建华社区,5,350102008000
350102009000,五凤街道,4,350102000000
350102009001,屏西社区,5,350102009000
350102009002,天元社区,5,350102009000
350102009003,广夏社区,5,350102009000
350102009004,白龙社区,5,350102009000
350102009005,龙泉社区,5,350102009000
350102009006,永恒社区,5,350102009000
350102009007,兰庭社区,5,350102009000
350102009008,左海社区,5,350102009000
350102009009,铜盘社区,5,350102009000
350102009010,湖前社区,5,350102009000
350102009013,凤仪社区,5,350102009000
350102100000,洪山镇,4,350102000000
350102100001,福屿社区,5,350102100000
350102100002,西凤社区,5,350102100000
350102100003,怡山社区,5,350102100000
350102100004,兴园社区,5,350102100000
350102100005,大凰山社区,5,350102100000
350102100006,凤凰池社区,5,350102100000
350102100007,象山社区,5,350102100000
350102100008,金牛山社区,5,350102100000
350102100009,凤湖社区,5,350102100000
350102100010,洪山桥社区,5,350102100000
350102100011,锦江社区,5,350102100000
350102100012,国光社区,5,350102100000
350103000000,台江区,3,350100000000
350103001000,瀛洲街道,4,350103000000
350103001002,建海社区,5,350103001000
350103001005,滨江社区,5,350103001000
350103001007,光明社区,5,350103001000
350103001012,红星社区,5,350103001000
350103001015,瀛东社区,5,350103001000
350103002000,后洲街道,4,350103000000
350103002006,天华社区,5,350103002000
350103002015,水巷社区,5,350103002000
350103002016,汀洲社区,5,350103002000
350103002019,同晖社区,5,350103002000
350103002020,中亭街社区,5,350103002000
350103002021,上下杭社区,5,350103002000
350103003000,义洲街道,4,350103000000
350103003002,浦东社区,5,350103003000
350103003003,泰山社区,5,350103003000
350103003004,浦西社区,5,350103003000
350103003008,奋斗社区,5,350103003000
350103003012,保兴社区,5,350103003000
350103004000,新港街道,4,350103000000
350103004002,南公社区,5,350103004000
350103004003,新港社区,5,350103004000
350103004004,十三桥社区,5,350103004000
350103004005,雁塔社区,5,350103004000
350103004008,利嘉城社区,5,350103004000
350103005000,上海街道,4,350103000000
350103005002,牡丹社区,5,350103005000
350103005004,上海新苑社区,5,350103005000
350103005005,河上社区,5,350103005000
350103005017,凤凰社区,5,350103005000
350103005021,西洋社区,5,350103005000
350103005022,交通社区,5,350103005000
350103005023,万象社区,5,350103005000
350103007000,苍霞街道,4,350103000000
350103007003,中平社区,5,350103007000
350103007004,苍霞新城社区,5,350103007000
350103007009,万侯社区,5,350103007000
350103007012,三保社区,5,350103007000
350103007013,河下社区,5,350103007000
350103009000,茶亭街道,4,350103000000
350103009007,广安社区,5,350103009000
350103009009,福德社区,5,350103009000
350103009014,洋头口社区,5,350103009000
350103009016,阳光社区,5,350103009000
350103010000,洋中街道,4,350103000000
350103010001,铺前社区,5,350103010000
350103010003,达道社区,5,350103010000
350103010004,金斗社区,5,350103010000
350103010014,玉树社区,5,350103010000
350103011000,鳌峰街道,4,350103000000
350103011001,亚峰社区,5,350103011000
350103011002,曙光社区,5,350103011000
350103011003,鳌峰洲社区,5,350103011000
350103011004,鳌峰苑社区,5,350103011000
